% This is a family of datasets synthetically generated from a realistic
% simulation of the dynamics of a Unimation Puma 560 robot arm. There
% are eight datastets in this family . In this repository we only have
% two of them. They are all variations on the same model; a realistic
% simulation of the dynamics of a Puma 560 robot arm. The task in these
% datasets is to predict the angular accelaration of one of the robot
% arm's links. The inputs include angular positions, velocities and
% torques of the robot arm. The family has been specifically generated
% for the delve environment and so the individual datasets span the
% corners of a cube whose dimensions represent:
% 
% Number of inputs 8. 
% degree of non-linearity (fairly linear or non-linear) 
% amount of noise in the output (moderate or high). 
% 
% Source: collection of regression datasets by Luis Torgo (ltorgo@ncc.up.pt) at
% http://www.ncc.up.pt/~ltorgo/Regression/DataSets.html
% Original Source: DELVE repository of data. 
% Characteristics: 8192 (4500+3692) cases, 9 continuous variables. 
@relation puma8NH
@attribute theta1 {<=-1.4025,(-1.4025;-0.9274],(-0.9274;-0.4485],(-0.4485;0.01792],(0.01792;0.46620],(0.46620;0.94004],(0.94004;1.41211],>1.41211}
@attribute theta2 {<=-1.3986,(-1.3986;-0.9123],(-0.9123;-0.4445],(-0.4445;0.02253],(0.02253;0.47313],(0.47313;0.97041],(0.97041;1.43953],>1.43953}
@attribute theta3 {<=-1.4120,(-1.4120;-0.9242],(-0.9242;-0.4591],(-0.4591;0.01650],(0.01650;0.46826],(0.46826;0.94259],(0.94259;1.39891],>1.39891}
@attribute thetad1 {<=-1.4177,(-1.4177;-0.9601],(-0.9601;-0.4870],(-0.4870;-0.0097],(-0.0097;0.45487],(0.45487;0.93178],(0.93178;1.41483],>1.41483}
@attribute thetad2 {<=-1.4248,(-1.4248;-0.9590],(-0.9590;-0.4854],(-0.4854;-0.0321],(-0.0321;0.44404],(0.44404;0.92685],(0.92685;1.39686],>1.39686}
@attribute thetad3 {<=-1.4065,(-1.4065;-0.9220],(-0.9220;-0.4590],(-0.4590;0.02647],(0.02647;0.49567],(0.49567;0.94678],(0.94678;1.41813],>1.41813}
@attribute tau1 {<=-0.4404,(-0.4404;-0.2967],(-0.2967;-0.1494],(-0.1494;0.00696],(0.00696;0.15157],(0.15157;0.29774],(0.29774;0.44690],>0.44690}
@attribute tau2 {<=-0.4523,(-0.4523;-0.3008],(-0.3008;-0.1490],(-0.1490;0.00517],(0.00517;0.14935],(0.14935;0.30370],(0.30370;0.44777],>0.44777}
@attribute class {<=-4.0892,(-4.0892;-0.8869],(-0.8869;3.29056],(3.29056;7.14038],>7.14038}

@data
(0.46620;0.94004],(0.97041;1.43953],(-0.9242;-0.4591],(-0.9601;-0.4870],<=-1.4248,(-0.4590;0.02647],(0.29774;0.44690],(-0.4523;-0.3008],(3.29056;7.14038]
(0.94004;1.41211],(-0.4445;0.02253],(0.94259;1.39891],(0.93178;1.41483],(-0.4854;-0.0321],(-1.4065;-0.9220],>0.44690,(-0.4523;-0.3008],>7.14038
(0.01792;0.46620],>1.43953,(0.94259;1.39891],<=-1.4177,(0.92685;1.39686],(0.02647;0.49567],<=-0.4404,(-0.4523;-0.3008],(3.29056;7.14038]
>1.41211,<=-1.3986,>1.39891,(-1.4177;-0.9601],(-0.0321;0.44404],(0.49567;0.94678],>0.44690,(-0.4523;-0.3008],(-0.8869;3.29056]
(0.46620;0.94004],(-0.9123;-0.4445],(-0.9242;-0.4591],(-0.4870;-0.0097],(0.92685;1.39686],(0.02647;0.49567],(0.29774;0.44690],(-0.4523;-0.3008],(-4.0892;-0.8869]
(-0.4485;0.01792],(0.97041;1.43953],<=-1.4120,<=-1.4177,(-0.0321;0.44404],>1.41813,(0.15157;0.29774],(-0.4523;-0.3008],(-4.0892;-0.8869]
(-1.4025;-0.9274],<=-1.3986,(0.46826;0.94259],(-1.4177;-0.9601],>1.39686,(0.94678;1.41813],(-0.1494;0.00696],(-0.4523;-0.3008],<=-4.0892
(0.46620;0.94004],<=-1.3986,(0.94259;1.39891],(-1.4177;-0.9601],>1.39686,(0.02647;0.49567],(-0.1494;0.00696],(-0.4523;-0.3008],<=-4.0892
(0.94004;1.41211],(0.02253;0.47313],(-1.4120;-0.9242],<=-1.4177,(-0.4854;-0.0321],(0.49567;0.94678],(0.15157;0.29774],(-0.4523;-0.3008],(-0.8869;3.29056]
(-0.4485;0.01792],(-0.4445;0.02253],<=-1.4120,(0.93178;1.41483],(-0.0321;0.44404],(-0.4590;0.02647],(-0.2967;-0.1494],(-0.4523;-0.3008],(-4.0892;-0.8869]
(0.46620;0.94004],>1.43953,(0.01650;0.46826],(0.45487;0.93178],(0.92685;1.39686],<=-1.4065,(0.15157;0.29774],(-0.4523;-0.3008],>7.14038
(-1.4025;-0.9274],(-0.4445;0.02253],(0.46826;0.94259],(-0.0097;0.45487],(-0.9590;-0.4854],<=-1.4065,(-0.4404;-0.2967],(-0.4523;-0.3008],>7.14038
(-1.4025;-0.9274],(-1.3986;-0.9123],(-0.4591;0.01650],(0.93178;1.41483],(-0.4854;-0.0321],(-0.4590;0.02647],<=-0.4404,(-0.4523;-0.3008],<=-4.0892
(0.46620;0.94004],>1.43953,(-0.4591;0.01650],(-0.0097;0.45487],>1.39686,<=-1.4065,(0.15157;0.29774],(-0.4523;-0.3008],>7.14038
(-0.4485;0.01792],(-0.4445;0.02253],(-1.4120;-0.9242],(0.45487;0.93178],(0.92685;1.39686],(-0.9220;-0.4590],(0.15157;0.29774],(-0.4523;-0.3008],(-4.0892;-0.8869]
(0.01792;0.46620],>1.43953,(-0.9242;-0.4591],>1.41483,(0.92685;1.39686],(-1.4065;-0.9220],(-0.1494;0.00696],(-0.4523;-0.3008],(-4.0892;-0.8869]
(-0.9274;-0.4485],(0.47313;0.97041],(0.94259;1.39891],(0.45487;0.93178],(0.44404;0.92685],(-1.4065;-0.9220],(0.29774;0.44690],(-0.4523;-0.3008],>7.14038
(-0.9274;-0.4485],>1.43953,<=-1.4120,(-0.0097;0.45487],(0.44404;0.92685],>1.41813,(-0.2967;-0.1494],(-0.4523;-0.3008],(3.29056;7.14038]
(0.01792;0.46620],(0.47313;0.97041],(-1.4120;-0.9242],(0.45487;0.93178],(0.92685;1.39686],(-0.4590;0.02647],>0.44690,(-0.4523;-0.3008],(-4.0892;-0.8869]
(0.46620;0.94004],(0.02253;0.47313],(-0.9242;-0.4591],(-1.4177;-0.9601],(-0.0321;0.44404],>1.41813,(-0.2967;-0.1494],(-0.4523;-0.3008],(-4.0892;-0.8869]
<=-1.4025,<=-1.3986,(0.46826;0.94259],(0.45487;0.93178],(-0.4854;-0.0321],(-0.4590;0.02647],(-0.2967;-0.1494],(-0.4523;-0.3008],(-4.0892;-0.8869]
(-1.4025;-0.9274],(0.97041;1.43953],>1.39891,(0.45487;0.93178],(-0.4854;-0.0321],(0.49567;0.94678],(0.15157;0.29774],(-0.4523;-0.3008],(-0.8869;3.29056]
<=-1.4025,<=-1.3986,(-0.9242;-0.4591],(0.45487;0.93178],>1.39686,(-0.4590;0.02647],(0.29774;0.44690],(-0.4523;-0.3008],<=-4.0892
<=-1.4025,(0.47313;0.97041],(-1.4120;-0.9242],(-0.4870;-0.0097],(-1.4248;-0.9590],(-0.9220;-0.4590],(-0.4404;-0.2967],(-0.4523;-0.3008],>7.14038
>1.41211,(0.47313;0.97041],(-0.9242;-0.4591],>1.41483,(-0.9590;-0.4854],(-0.4590;0.02647],(-0.2967;-0.1494],(-0.4523;-0.3008],>7.14038
(0.46620;0.94004],<=-1.3986,(-0.4591;0.01650],(-0.9601;-0.4870],<=-1.4248,(-0.4590;0.02647],(0.29774;0.44690],(-0.4523;-0.3008],<=-4.0892
(-0.4485;0.01792],<=-1.3986,(0.94259;1.39891],(-0.0097;0.45487],>1.39686,(-0.4590;0.02647],>0.44690,(-0.4523;-0.3008],(-0.8869;3.29056]
(0.01792;0.46620],>1.43953,(0.46826;0.94259],<=-1.4177,>1.39686,<=-1.4065,(-0.2967;-0.1494],(-0.4523;-0.3008],>7.14038
(0.94004;1.41211],(0.97041;1.43953],(-1.4120;-0.9242],(0.45487;0.93178],(0.92685;1.39686],(0.02647;0.49567],(0.29774;0.44690],(-0.4523;-0.3008],(-4.0892;-0.8869]
(-1.4025;-0.9274],<=-1.3986,(0.46826;0.94259],(0.45487;0.93178],<=-1.4248,(0.02647;0.49567],(0.00696;0.15157],(-0.4523;-0.3008],<=-4.0892
<=-1.4025,(-1.3986;-0.9123],(0.46826;0.94259],>1.41483,<=-1.4248,(0.49567;0.94678],(-0.2967;-0.1494],(-0.4523;-0.3008],<=-4.0892
(0.46620;0.94004],>1.43953,(-0.4591;0.01650],(0.93178;1.41483],(-1.4248;-0.9590],(0.94678;1.41813],(0.00696;0.15157],(-0.4523;-0.3008],(3.29056;7.14038]
<=-1.4025,(0.47313;0.97041],(-0.9242;-0.4591],(-0.4870;-0.0097],(0.44404;0.92685],(0.49567;0.94678],(0.00696;0.15157],(-0.4523;-0.3008],(-4.0892;-0.8869]
(-1.4025;-0.9274],(0.47313;0.97041],(0.94259;1.39891],(-0.4870;-0.0097],(-0.0321;0.44404],(-0.4590;0.02647],<=-0.4404,(-0.4523;-0.3008],>7.14038
<=-1.4025,>1.43953,(0.94259;1.39891],(-1.4177;-0.9601],>1.39686,(-1.4065;-0.9220],(-0.1494;0.00696],(-0.4523;-0.3008],(3.29056;7.14038]
<=-1.4025,(-1.3986;-0.9123],>1.39891,(0.45487;0.93178],<=-1.4248,(-1.4065;-0.9220],(-0.1494;0.00696],(-0.4523;-0.3008],(-0.8869;3.29056]
(0.94004;1.41211],(-0.9123;-0.4445],(-0.4591;0.01650],<=-1.4177,(-0.4854;-0.0321],(-0.4590;0.02647],(-0.4404;-0.2967],(-0.4523;-0.3008],<=-4.0892
(-1.4025;-0.9274],(0.97041;1.43953],(0.01650;0.46826],(-0.9601;-0.4870],>1.39686,>1.41813,(0.00696;0.15157],(-0.4523;-0.3008],(3.29056;7.14038]
(0.46620;0.94004],(-0.4445;0.02253],(0.01650;0.46826],(0.93178;1.41483],>1.39686,(-1.4065;-0.9220],(0.29774;0.44690],(-0.4523;-0.3008],(-0.8869;3.29056]
(-0.9274;-0.4485],(-0.4445;0.02253],(-1.4120;-0.9242],(0.93178;1.41483],(0.44404;0.92685],(0.49567;0.94678],>0.44690,(-0.4523;-0.3008],(-4.0892;-0.8869]
(-0.9274;-0.4485],(0.02253;0.47313],(-0.9242;-0.4591],(-1.4177;-0.9601],(-0.0321;0.44404],(0.49567;0.94678],(-0.4404;-0.2967],(-0.4523;-0.3008],(-0.8869;3.29056]
(-1.4025;-0.9274],(0.47313;0.97041],(0.94259;1.39891],(-1.4177;-0.9601],<=-1.4248,(-0.4590;0.02647],(-0.4404;-0.2967],(-0.4523;-0.3008],(-4.0892;-0.8869]
(-0.4485;0.01792],(0.02253;0.47313],<=-1.4120,(-0.4870;-0.0097],(0.44404;0.92685],>1.41813,(-0.4404;-0.2967],(-0.4523;-0.3008],(-4.0892;-0.8869]
(-0.9274;-0.4485],<=-1.3986,<=-1.4120,(-0.9601;-0.4870],(-0.4854;-0.0321],(0.94678;1.41813],>0.44690,(-0.4523;-0.3008],(-0.8869;3.29056]
(0.94004;1.41211],(0.97041;1.43953],(-1.4120;-0.9242],(-0.9601;-0.4870],(-0.4854;-0.0321],>1.41813,<=-0.4404,(-0.4523;-0.3008],(-4.0892;-0.8869]
(-0.9274;-0.4485],(0.97041;1.43953],(0.46826;0.94259],(0.45487;0.93178],<=-1.4248,(-1.4065;-0.9220],(0.00696;0.15157],(-0.4523;-0.3008],(3.29056;7.14038]
(0.46620;0.94004],(-0.9123;-0.4445],<=-1.4120,(-0.4870;-0.0097],(0.92685;1.39686],(-0.4590;0.02647],(-0.2967;-0.1494],(-0.4523;-0.3008],(-4.0892;-0.8869]
(-0.9274;-0.4485],(0.02253;0.47313],(0.46826;0.94259],(-0.4870;-0.0097],<=-1.4248,<=-1.4065,(0.29774;0.44690],(-0.4523;-0.3008],>7.14038
(-0.4485;0.01792],>1.43953,(-0.4591;0.01650],<=-1.4177,>1.39686,(-1.4065;-0.9220],(0.29774;0.44690],(-0.4523;-0.3008],(3.29056;7.14038]
(0.94004;1.41211],(0.47313;0.97041],<=-1.4120,<=-1.4177,(-0.4854;-0.0321],(0.94678;1.41813],(0.29774;0.44690],(-0.4523;-0.3008],(-4.0892;-0.8869]
(-0.9274;-0.4485],>1.43953,>1.39891,(-0.0097;0.45487],(-0.4854;-0.0321],(0.94678;1.41813],<=-0.4404,(-0.3008;-0.1490],(3.29056;7.14038]
(0.46620;0.94004],>1.43953,(-0.4591;0.01650],(-1.4177;-0.9601],(-1.4248;-0.9590],>1.41813,(-0.2967;-0.1494],(-0.3008;-0.1490],>7.14038
(-0.4485;0.01792],<=-1.3986,(0.94259;1.39891],(-0.4870;-0.0097],(0.92685;1.39686],(0.02647;0.49567],(0.29774;0.44690],(-0.3008;-0.1490],<=-4.0892
(0.01792;0.46620],(-0.9123;-0.4445],<=-1.4120,(-0.0097;0.45487],(-0.0321;0.44404],(-0.4590;0.02647],(0.29774;0.44690],(-0.3008;-0.1490],(-0.8869;3.29056]
(0.94004;1.41211],(0.02253;0.47313],(-0.9242;-0.4591],(-1.4177;-0.9601],(-1.4248;-0.9590],(-1.4065;-0.9220],(-0.4404;-0.2967],(-0.3008;-0.1490],(-4.0892;-0.8869]
>1.41211,(-1.3986;-0.9123],(-1.4120;-0.9242],(-0.0097;0.45487],(-0.4854;-0.0321],(-0.4590;0.02647],<=-0.4404,(-0.3008;-0.1490],<=-4.0892
(-0.4485;0.01792],(0.47313;0.97041],(0.01650;0.46826],(0.93178;1.41483],(0.44404;0.92685],(0.02647;0.49567],(0.29774;0.44690],(-0.3008;-0.1490],>7.14038
(-0.4485;0.01792],(0.02253;0.47313],(-1.4120;-0.9242],(-0.0097;0.45487],(-0.4854;-0.0321],(0.02647;0.49567],(0.29774;0.44690],(-0.3008;-0.1490],(-0.8869;3.29056]
(0.94004;1.41211],(-1.3986;-0.9123],(-0.9242;-0.4591],(-0.0097;0.45487],(-0.4854;-0.0321],(-0.4590;0.02647],>0.44690,(-0.3008;-0.1490],<=-4.0892
(0.94004;1.41211],(-1.3986;-0.9123],(0.01650;0.46826],(0.45487;0.93178],>1.39686,(-1.4065;-0.9220],(0.00696;0.15157],(-0.3008;-0.1490],<=-4.0892
(-1.4025;-0.9274],(-0.4445;0.02253],(-0.4591;0.01650],(0.45487;0.93178],(0.44404;0.92685],(0.49567;0.94678],(0.15157;0.29774],(-0.3008;-0.1490],(-4.0892;-0.8869]
(-1.4025;-0.9274],>1.43953,(0.01650;0.46826],(-0.4870;-0.0097],(-0.4854;-0.0321],(-1.4065;-0.9220],>0.44690,(-0.3008;-0.1490],(3.29056;7.14038]
(0.94004;1.41211],(-0.4445;0.02253],(-0.9242;-0.4591],>1.41483,(-0.9590;-0.4854],(0.49567;0.94678],(-0.2967;-0.1494],(-0.3008;-0.1490],(-0.8869;3.29056]
(-1.4025;-0.9274],<=-1.3986,(0.01650;0.46826],(0.93178;1.41483],(-0.4854;-0.0321],(0.02647;0.49567],(-0.1494;0.00696],(-0.3008;-0.1490],<=-4.0892
(0.01792;0.46620],(0.97041;1.43953],>1.39891,>1.41483,(0.44404;0.92685],<=-1.4065,(0.15157;0.29774],(-0.3008;-0.1490],(-0.8869;3.29056]
<=-1.4025,<=-1.3986,(-0.9242;-0.4591],>1.41483,(-0.9590;-0.4854],(0.94678;1.41813],(-0.4404;-0.2967],(-0.3008;-0.1490],<=-4.0892
>1.41211,(0.02253;0.47313],>1.39891,(-1.4177;-0.9601],<=-1.4248,(-1.4065;-0.9220],(0.00696;0.15157],(-0.3008;-0.1490],>7.14038
(0.46620;0.94004],(0.97041;1.43953],(0.94259;1.39891],(-0.4870;-0.0097],(-0.0321;0.44404],(-1.4065;-0.9220],(0.15157;0.29774],(-0.3008;-0.1490],(3.29056;7.14038]
<=-1.4025,>1.43953,(-0.4591;0.01650],(-0.9601;-0.4870],(0.44404;0.92685],>1.41813,(-0.1494;0.00696],(-0.3008;-0.1490],>7.14038
(-0.4485;0.01792],>1.43953,>1.39891,(0.45487;0.93178],(0.44404;0.92685],(0.94678;1.41813],(-0.4404;-0.2967],(-0.3008;-0.1490],(3.29056;7.14038]
(-1.4025;-0.9274],(-0.4445;0.02253],(0.01650;0.46826],(0.93178;1.41483],<=-1.4248,(0.94678;1.41813],<=-0.4404,(-0.3008;-0.1490],(-0.8869;3.29056]
(-0.4485;0.01792],(-1.3986;-0.9123],(0.01650;0.46826],(-1.4177;-0.9601],<=-1.4248,(-1.4065;-0.9220],(-0.2967;-0.1494],(-0.3008;-0.1490],<=-4.0892
(-0.4485;0.01792],(-1.3986;-0.9123],>1.39891,(0.93178;1.41483],(-1.4248;-0.9590],(-0.9220;-0.4590],(-0.2967;-0.1494],(-0.3008;-0.1490],>7.14038
(-0.4485;0.01792],(0.02253;0.47313],(-0.9242;-0.4591],(0.45487;0.93178],>1.39686,<=-1.4065,(-0.2967;-0.1494],(-0.3008;-0.1490],(-0.8869;3.29056]
(0.01792;0.46620],(-0.9123;-0.4445],(0.01650;0.46826],(0.93178;1.41483],(0.44404;0.92685],(-0.4590;0.02647],(-0.2967;-0.1494],(-0.3008;-0.1490],<=-4.0892
(0.01792;0.46620],(-0.4445;0.02253],(-1.4120;-0.9242],<=-1.4177,>1.39686,(-0.9220;-0.4590],(-0.2967;-0.1494],(-0.3008;-0.1490],(-4.0892;-0.8869]
(0.94004;1.41211],(0.47313;0.97041],(0.46826;0.94259],<=-1.4177,(0.92685;1.39686],(-1.4065;-0.9220],(-0.4404;-0.2967],(-0.3008;-0.1490],>7.14038
(-0.9274;-0.4485],(-1.3986;-0.9123],(0.46826;0.94259],(0.93178;1.41483],>1.39686,(-0.4590;0.02647],(-0.1494;0.00696],(-0.3008;-0.1490],(-4.0892;-0.8869]
(0.46620;0.94004],<=-1.3986,(0.01650;0.46826],(0.93178;1.41483],(0.92685;1.39686],(0.49567;0.94678],(-0.4404;-0.2967],(-0.3008;-0.1490],<=-4.0892
<=-1.4025,(-0.9123;-0.4445],(0.01650;0.46826],(-0.0097;0.45487],(0.44404;0.92685],<=-1.4065,(-0.4404;-0.2967],(-0.3008;-0.1490],<=-4.0892
(-0.4485;0.01792],(0.02253;0.47313],<=-1.4120,(-0.9601;-0.4870],(-0.9590;-0.4854],>1.41813,>0.44690,(-0.3008;-0.1490],(-4.0892;-0.8869]
(0.94004;1.41211],(0.02253;0.47313],<=-1.4120,<=-1.4177,(0.92685;1.39686],(0.94678;1.41813],>0.44690,(-0.3008;-0.1490],(-4.0892;-0.8869]
<=-1.4025,<=-1.3986,(-0.9242;-0.4591],(-0.9601;-0.4870],(0.92685;1.39686],(-0.9220;-0.4590],(-0.4404;-0.2967],(-0.3008;-0.1490],(-4.0892;-0.8869]
<=-1.4025,(-1.3986;-0.9123],(0.46826;0.94259],(-0.0097;0.45487],(0.44404;0.92685],>1.41813,(0.29774;0.44690],(-0.3008;-0.1490],<=-4.0892
(-0.9274;-0.4485],(-0.4445;0.02253],>1.39891,<=-1.4177,(0.92685;1.39686],<=-1.4065,<=-0.4404,(-0.3008;-0.1490],>7.14038
(0.94004;1.41211],(-0.4445;0.02253],(-0.4591;0.01650],(0.93178;1.41483],(0.44404;0.92685],<=-1.4065,>0.44690,(-0.3008;-0.1490],(-0.8869;3.29056]
(0.01792;0.46620],(0.02253;0.47313],(0.94259;1.39891],(0.45487;0.93178],(-0.4854;-0.0321],(0.94678;1.41813],(-0.2967;-0.1494],(-0.3008;-0.1490],(3.29056;7.14038]
(0.01792;0.46620],>1.43953,>1.39891,(-0.0097;0.45487],(-1.4248;-0.9590],(-0.4590;0.02647],(0.00696;0.15157],(-0.3008;-0.1490],(-0.8869;3.29056]
(-1.4025;-0.9274],(-1.3986;-0.9123],(0.46826;0.94259],(0.93178;1.41483],(-0.0321;0.44404],<=-1.4065,<=-0.4404,(-0.3008;-0.1490],<=-4.0892
(-0.4485;0.01792],>1.43953,(-0.4591;0.01650],(-0.0097;0.45487],>1.39686,(0.02647;0.49567],(0.29774;0.44690],(-0.3008;-0.1490],>7.14038
(0.94004;1.41211],(-0.9123;-0.4445],(-0.4591;0.01650],(-0.9601;-0.4870],<=-1.4248,>1.41813,>0.44690,(-0.3008;-0.1490],<=-4.0892
(-1.4025;-0.9274],(-0.4445;0.02253],(-0.4591;0.01650],(0.93178;1.41483],(-0.0321;0.44404],(0.02647;0.49567],(0.00696;0.15157],(-0.3008;-0.1490],(-0.8869;3.29056]
<=-1.4025,(-0.4445;0.02253],(-1.4120;-0.9242],(-0.4870;-0.0097],(-1.4248;-0.9590],(-1.4065;-0.9220],(0.00696;0.15157],(-0.3008;-0.1490],<=-4.0892
>1.41211,>1.43953,(0.94259;1.39891],(-0.0097;0.45487],(-0.9590;-0.4854],(0.02647;0.49567],(-0.2967;-0.1494],(-0.3008;-0.1490],(-4.0892;-0.8869]
<=-1.4025,<=-1.3986,(0.46826;0.94259],>1.41483,(-0.0321;0.44404],(-0.4590;0.02647],(0.15157;0.29774],(-0.3008;-0.1490],<=-4.0892
(-1.4025;-0.9274],(0.97041;1.43953],<=-1.4120,>1.41483,(-1.4248;-0.9590],(0.02647;0.49567],(0.15157;0.29774],(-0.3008;-0.1490],<=-4.0892
(0.46620;0.94004],(-0.4445;0.02253],(0.01650;0.46826],(-1.4177;-0.9601],(-1.4248;-0.9590],<=-1.4065,(0.00696;0.15157],(-0.3008;-0.1490],(-4.0892;-0.8869]
(-1.4025;-0.9274],(-0.9123;-0.4445],(0.01650;0.46826],(-0.0097;0.45487],>1.39686,(0.02647;0.49567],<=-0.4404,(-0.3008;-0.1490],(-4.0892;-0.8869]
<=-1.4025,(0.47313;0.97041],<=-1.4120,(-0.4870;-0.0097],<=-1.4248,(0.49567;0.94678],>0.44690,(-0.3008;-0.1490],(-4.0892;-0.8869]
>1.41211,(0.02253;0.47313],(-0.9242;-0.4591],>1.41483,(-0.0321;0.44404],(-0.4590;0.02647],(-0.1494;0.00696],(-0.3008;-0.1490],(3.29056;7.14038]
(0.94004;1.41211],(-1.3986;-0.9123],(0.01650;0.46826],(0.93178;1.41483],(-0.4854;-0.0321],(-1.4065;-0.9220],(-0.2967;-0.1494],(-0.3008;-0.1490],<=-4.0892
(0.94004;1.41211],(0.97041;1.43953],(-0.9242;-0.4591],(0.45487;0.93178],(0.92685;1.39686],(-1.4065;-0.9220],>0.44690,(-0.3008;-0.1490],>7.14038
(0.46620;0.94004],(-1.3986;-0.9123],(0.01650;0.46826],(0.93178;1.41483],<=-1.4248,(-0.4590;0.02647],(0.15157;0.29774],(-0.3008;-0.1490],<=-4.0892
(0.46620;0.94004],(0.47313;0.97041],>1.39891,<=-1.4177,(-1.4248;-0.9590],(-0.9220;-0.4590],<=-0.4404,(-0.3008;-0.1490],>7.14038
(0.94004;1.41211],(0.02253;0.47313],>1.39891,>1.41483,(-0.9590;-0.4854],(0.02647;0.49567],(0.00696;0.15157],(-0.3008;-0.1490],(3.29056;7.14038]
(-1.4025;-0.9274],(0.47313;0.97041],<=-1.4120,(0.45487;0.93178],<=-1.4248,<=-1.4065,(-0.1494;0.00696],(-0.3008;-0.1490],(-4.0892;-0.8869]
(-0.4485;0.01792],(-1.3986;-0.9123],(-0.4591;0.01650],>1.41483,(0.44404;0.92685],(-0.9220;-0.4590],(-0.2967;-0.1494],(-0.3008;-0.1490],<=-4.0892
(0.94004;1.41211],(0.47313;0.97041],(-0.9242;-0.4591],>1.41483,(-0.9590;-0.4854],(-1.4065;-0.9220],<=-0.4404,(-0.3008;-0.1490],(3.29056;7.14038]
(0.46620;0.94004],(-0.4445;0.02253],(-0.9242;-0.4591],(-0.4870;-0.0097],(-0.9590;-0.4854],<=-1.4065,(0.00696;0.15157],(-0.3008;-0.1490],(-4.0892;-0.8869]
>1.41211,(-0.4445;0.02253],(-1.4120;-0.9242],(-0.9601;-0.4870],(-0.9590;-0.4854],<=-1.4065,(-0.2967;-0.1494],(-0.3008;-0.1490],(-4.0892;-0.8869]
(0.94004;1.41211],(0.97041;1.43953],(-1.4120;-0.9242],>1.41483,(-0.0321;0.44404],(0.49567;0.94678],>0.44690,(-0.3008;-0.1490],(-4.0892;-0.8869]
<=-1.4025,(-0.4445;0.02253],(-0.4591;0.01650],(0.93178;1.41483],(-1.4248;-0.9590],<=-1.4065,<=-0.4404,(-0.3008;-0.1490],(-4.0892;-0.8869]
(0.94004;1.41211],<=-1.3986,(0.94259;1.39891],(-0.9601;-0.4870],(0.44404;0.92685],(-0.9220;-0.4590],>0.44690,(-0.3008;-0.1490],<=-4.0892
(0.94004;1.41211],>1.43953,<=-1.4120,(-0.0097;0.45487],(0.92685;1.39686],(-0.4590;0.02647],(0.15157;0.29774],(-0.3008;-0.1490],(3.29056;7.14038]
(-1.4025;-0.9274],(0.02253;0.47313],(0.01650;0.46826],(-0.4870;-0.0097],(-0.4854;-0.0321],(0.94678;1.41813],(-0.4404;-0.2967],(-0.3008;-0.1490],(-0.8869;3.29056]
(0.46620;0.94004],(-1.3986;-0.9123],(0.46826;0.94259],(-0.0097;0.45487],(0.44404;0.92685],>1.41813,(-0.1494;0.00696],(-0.3008;-0.1490],(3.29056;7.14038]
(-0.9274;-0.4485],(0.02253;0.47313],(0.46826;0.94259],(-1.4177;-0.9601],<=-1.4248,>1.41813,(0.15157;0.29774],(-0.3008;-0.1490],(-0.8869;3.29056]
(-0.4485;0.01792],<=-1.3986,(-1.4120;-0.9242],<=-1.4177,<=-1.4248,(-1.4065;-0.9220],>0.44690,(-0.3008;-0.1490],(-0.8869;3.29056]
>1.41211,<=-1.3986,<=-1.4120,(-1.4177;-0.9601],(0.92685;1.39686],>1.41813,(0.29774;0.44690],(-0.3008;-0.1490],(-0.8869;3.29056]
(-0.9274;-0.4485],(-0.4445;0.02253],(-0.9242;-0.4591],(-1.4177;-0.9601],<=-1.4248,(0.02647;0.49567],>0.44690,(-0.3008;-0.1490],<=-4.0892
<=-1.4025,(0.97041;1.43953],<=-1.4120,>1.41483,(-0.4854;-0.0321],(-0.4590;0.02647],(0.00696;0.15157],(-0.3008;-0.1490],(3.29056;7.14038]
(0.01792;0.46620],(-0.9123;-0.4445],>1.39891,(-0.0097;0.45487],(-0.9590;-0.4854],(0.02647;0.49567],>0.44690,(-0.3008;-0.1490],(3.29056;7.14038]
(-0.9274;-0.4485],(0.97041;1.43953],(-0.9242;-0.4591],(0.93178;1.41483],(-0.4854;-0.0321],<=-1.4065,(0.15157;0.29774],(-0.3008;-0.1490],(3.29056;7.14038]
(0.01792;0.46620],(0.02253;0.47313],(0.46826;0.94259],<=-1.4177,<=-1.4248,(-0.9220;-0.4590],(-0.1494;0.00696],(-0.3008;-0.1490],>7.14038
(0.46620;0.94004],<=-1.3986,(0.94259;1.39891],(0.45487;0.93178],(-0.0321;0.44404],(-0.4590;0.02647],(0.15157;0.29774],(-0.3008;-0.1490],<=-4.0892
>1.41211,>1.43953,(0.94259;1.39891],(-1.4177;-0.9601],(-0.4854;-0.0321],(-0.4590;0.02647],(-0.4404;-0.2967],(-0.3008;-0.1490],<=-4.0892
(0.94004;1.41211],<=-1.3986,>1.39891,(-0.9601;-0.4870],>1.39686,(0.94678;1.41813],(-0.2967;-0.1494],(-0.3008;-0.1490],<=-4.0892
(-0.9274;-0.4485],(-0.9123;-0.4445],(0.46826;0.94259],(-0.4870;-0.0097],<=-1.4248,(-0.9220;-0.4590],(-0.4404;-0.2967],(-0.3008;-0.1490],(3.29056;7.14038]
(-1.4025;-0.9274],(-0.9123;-0.4445],>1.39891,>1.41483,>1.39686,(-0.4590;0.02647],(0.15157;0.29774],(-0.3008;-0.1490],>7.14038
